product_name,5_stars,4_stars,3_stars,2_stars,1_stars,additional_information,url
"SlumberWorx HARRY KIDS WOODEN TEEPEE TENT SINGLE BED FRAME OPTIONAL TRUNDLE & MATTRESS - GREY/WHITE (Grey With Guest Trundle, No Mattress)",50%,50%,0%,0%,0%,Size Name: No MattressColour Name: Grey With Guest Trundle,https://www.amazon.co.uk/product-reviews/B0C823CLP5
"SlumberWorx HARRY KIDS WOODEN TEEPEE TENT SINGLE BED FRAME OPTIONAL TRUNDLE & MATTRESS - GREY/WHITE (White, 1 x 10cm Comfort Foam Mattress)",50%,50%,0%,0%,0%,Size Name: 1 x 10cm Comfort Foam MattressColour Name: White,https://www.amazon.co.uk/product-reviews/B0C8239Z9P
"SlumberWorx HARRY KIDS WOODEN TEEPEE TENT SINGLE BED FRAME OPTIONAL TRUNDLE & MATTRESS - GREY/WHITE (White With Guest Trundle, No Mattress)",50%,50%,0%,0%,0%,Size Name: No MattressColour Name: White With Guest Trundle,https://www.amazon.co.uk/product-reviews/B0C8228BL3
"SlumberWorx HERTFORD LOW PLATFORM BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 15cm Deep Comfort Foam Mattress, Double)",100%,0%,0%,0%,0%,Size Name: DoubleStyle Name: With 15cm Deep Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CC6BPKRR
"SlumberWorx HERTFORD LOW PLATFORM BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 15cm Deep Comfort Foam Mattress, King (U.K. Standard))",100%,0%,0%,0%,0%,Size Name: King (U.K. Standard)Style Name: With 15cm Deep Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CC6B6FDZ
"SlumberWorx HERTFORD LOW PLATFORM BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 15cm Deep Comfort Foam Mattress, Single)",100%,0%,0%,0%,0%,Size Name: SingleStyle Name: With 15cm Deep Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CC6BCWNS
"HERTFORD LOW PLATFORM BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 20cm Deep Pocket Sprung Comfort Foam Mattress, Double)",100%,0%,0%,0%,0%,Size Name: DoubleStyle Name: With 20cm Deep Pocket Sprung Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CC6BQ5KZ
"HERTFORD LOW PLATFORM BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 20cm Deep Pocket Sprung Comfort Foam Mattress, King (U.K. Standard))",100%,0%,0%,0%,0%,Size Name: King (U.K. Standard)Style Name: With 20cm Deep Pocket Sprung Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CC6CB8GH
"HERTFORD LOW PLATFORM BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 20cm Deep Pocket Sprung Comfort Foam Mattress, Single)",100%,0%,0%,0%,0%,Size Name: SingleStyle Name: With 20cm Deep Pocket Sprung Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CC68YD17
"HERTFORD LOW PLATFORM BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 25cm Deep Pocket Sprung Memory Foam Mattress, Double)",100%,0%,0%,0%,0%,Size Name: DoubleStyle Name: With 25cm Deep Pocket Sprung Memory Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CC6CRMMR
"HERTFORD LOW PLATFORM BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 25cm Deep Pocket Sprung Memory Foam Mattress, King (U.K. Standard))",100%,0%,0%,0%,0%,Size Name: King (U.K. Standard)Style Name: With 25cm Deep Pocket Sprung Memory Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CC69W5XX
"HERTFORD LOW PLATFORM BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 25cm Deep Pocket Sprung Memory Foam Mattress, Single)",100%,0%,0%,0%,0%,Size Name: SingleStyle Name: With 25cm Deep Pocket Sprung Memory Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CC6C1L17
SlumberWorx OLIVER WHITE WOODEN BUNK BED WITH TRUNDLE – SINGLE,0%,0%,0%,0%,0%,"",https://www.amazon.co.uk/product-reviews/B0CRRVDNKY
"SlumberWorx More4Homes Teddy Kids Wooden House Treehouse - Single Toddler Bed Frame with Comfort Foam Mattress - House Bed For Kids - Grey or White, 2 x 10cm Mattress",50%,50%,0%,0%,0%,Size Name: 2 x 10cm Comfort Foam MattressColour Name: Grey With Guest Trundle,https://www.amazon.co.uk/product-reviews/B0C86JSHJG
"SlumberWorx Teddy Kids Wooden House Treehouse Single Bed Frame In White/Grey & Optional Guest Trundle & Mattress (White With Guest Trundle, 2 x 10cm Comfort Foam Mattress)",50%,50%,0%,0%,0%,Size Name: 2 x 10cm Comfort Foam MattressColour Name: White With Guest Trundle,https://www.amazon.co.uk/product-reviews/B0C86H585C
"SlumberWorx Teddy Kids Wooden House Treehouse Single Bed Frame In White/Grey & Optional Guest Trundle & Mattress (Grey No Guest Trundle, 1 x 10cm Comfort Foam Mattress)",50%,50%,0%,0%,0%,Size Name: 1 x 10cm Comfort Foam MattressColour Name: Grey No Guest Trundle,https://www.amazon.co.uk/product-reviews/B0C86JVD55
"SlumberWorx Teddy Kids Wooden House Treehouse Single Bed Frame In White/Grey & Optional Guest Trundle & Mattress (Grey With Guest Trundle, No Mattress)",50%,50%,0%,0%,0%,Size Name: No MattressColour Name: Grey With Guest Trundle,https://www.amazon.co.uk/product-reviews/B0C86JKV74
"SlumberWorx Teddy Kids Wooden House Treehouse Single Bed Frame In White/Grey & Optional Guest Trundle & Mattress (White No Guest Trundle, 1 x 10cm Comfort Foam Mattress)",50%,50%,0%,0%,0%,Size Name: 1 x 10cm Comfort Foam MattressColour Name: White No Guest Trundle,https://www.amazon.co.uk/product-reviews/B0C86LK7DK
"SlumberWorx Teddy Kids Wooden House Treehouse Single Bed Frame In White/Grey & Optional Guest Trundle & Mattress (White With Guest Trundle, No Mattress)",50%,50%,0%,0%,0%,Size Name: No MattressColour Name: White With Guest Trundle,https://www.amazon.co.uk/product-reviews/B0C86HRTNG
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 15cm Deep Comfort Foam Mattress, Double)",0%,0%,0%,0%,0%,Size Name: DoubleStyle Name: With 15cm Deep Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLKG6FN
